Divisional_Office,Zone_Office,Area_Office,Branch_Code,Branch_Name,Loanee,Member,Loan_Amount,Outstanding_Pr
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,48,Sonka,181,181,"12,440,000.00","12,332,920.00"
OP Domain Bogra,Bogra South Zone,Gohail Region,49,Ronbagha,187,187,"9,705,000.00","9,603,459.00"
OP Domain Bogra,Bogra South Zone,Dhunat Region,202,Kutubpur,114,114,"6,674,000.00","6,551,092.00"
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,209,Sherpur-2,115,115,"15,445,000.00","15,423,539.00"
OP Domain Bogra,Bogra South Zone,Dhunat Region,296,Sonamukhi,179,179,"10,701,000.00","10,546,191.00"
OP Domain Bogra,Bogra South Zone,Gohail Region,359,Vatra,158,158,"8,900,000.00","8,825,334.00"
OP Domain Bogra,Bogra South Zone,Dhunat Region,596,Sonahata,139,139,"10,050,000.00","9,916,888.00"
OP Domain Bogra,Bogra South Zone,Sherpur-1 Region,603,B-Block,129,129,"9,915,000.00","9,861,135.00"
OP Domain Bogra,Bogra South Zone,Sherpur Region,915,Sherpur Branch,136,136,"13,090,000.00","13,005,488.00"
OP Domain Bogra,Bogra South Zone,Gohail Region,921,Nandigram Branch,92,92,"6,100,000.00","6,033,334.00"
OP Domain Bogra,Bogra South Zone,Dhunat Region,950,Dhunut Branch,74,74,"6,820,000.00","6,771,993.00"
OP Domain Bogra,Joypurhat Zone,Kalai Region,13,Kalai,210,210,"11,200,000.00","11,125,865.00"
OP Domain Bogra,Joypurhat Zone,Kalai Region,28,Khetlal,233,233,"12,500,000.00","12,442,304.00"
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,33,Joypurhat-1,227,227,"11,175,000.00","11,075,624.00"
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,59,Mongolbary,206,206,"10,021,000.00","9,950,472.00"
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,60,Hakimpur,223,222,"12,730,000.00","12,643,541.00"
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,73,Panchbibi,269,269,"16,037,000.00","15,924,612.00"
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,82,Bhaduriya,203,203,"10,778,000.00","10,720,520.00"
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,117,Shirotti,241,241,"14,181,000.00","14,106,932.00"
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,131,Khanjanpur,241,241,"11,854,000.00","11,763,519.00"
OP Domain Bogra,Joypurhat Zone,Kalai Region,256,Punat,212,212,"11,270,000.00","11,213,588.00"
OP Domain Bogra,Joypurhat Zone,Kalai Region,270,Molamgari,276,276,"14,638,000.00","14,568,956.00"
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,383,Joypurhat-2,103,103,"8,158,000.00","8,085,809.00"
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,598,Joypurhat-3,223,223,"11,157,000.00","11,048,886.00"
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,910,Joypurhat Branch,76,76,"5,510,000.00","5,445,621.00"
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,911,Panchbibi Branch,79,79,"6,210,000.00","6,158,308.00"
OP Domain Bogra,Joypurhat Zone,Kalai Region,912,Kalai Branch,104,104,"6,410,000.00","6,338,148.00"
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,917,Hakimpur Branch,124,124,"10,101,000.00","10,026,976.00"
OP Domain Bogra,Joypurhat Zone,Kalai Region,963,Kichok Branch,80,80,"6,265,000.00","6,216,781.00"
OP Domain Bogra,Joypurhat Zone,Hakimpur Region,1022,Dugdugihat,169,169,"8,357,000.00","8,336,360.00"
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,41,Nimgachhi,106,106,"7,010,000.00","6,955,579.00"
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,132,Salanga,209,209,"13,433,000.00","13,318,845.00"
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,133,Sirajganj-1,199,199,"11,917,000.00","11,764,596.00"
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,136,Bagbati,164,164,"10,468,000.00","10,404,152.00"
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,138,BELKUCHI,168,168,"11,451,000.00","11,363,284.00"
OP Domain Bogra,Sirajganj Zone,Ullapara Region,141,Ullahpara,207,207,"11,695,000.00","11,566,089.00"
