Domain,Zone,Region,Branch_Name,Branch_Code,New_Member_Admission_August_2025,Member_Cancellation_August_2025,Borrower_August_2025,Fully_Paid_Borrower_August_2025,Reg_Loan_Recoverable_August_2025,Recovered_Regular_August_2025,Recovered_Due_August_2025,New_Due_Amount_August_2025,August_2025_Total Due,August_2025_Total_Due_Loanee,As_on_August_2025_Bad Loan_365,As_on_August_2025_Overdue_Loan_Outstanding,As_on_August_2025_Overdue_Loan_Outstanding,As on August_2025 Cummulative Loan Disbursement,As_on_August_2025_Cummulative_Loan_Collection
OP Domain Natore,Chatmohor Zone,Bhangura Region,AUSTOMONISA,311,67,53,104,91,5648675,5368235,90552,280440,6362478,582,4189551,7583936,7583936,152625000,140364766
OP Domain Bogra,Sirajganj Zone,Kamarkhanda Region,Bhadraghat,312,84,84,152,150,7790698,7490275,81105,300423,6052714,584,3767870,7595190,7595190,225512000,217582762
OP Domain Khulna,Khulna Zone,Bagerhat Region,KATAKHALI-2,313,59,45,83,71,4789638,4499109,265971,290529,25094348,2199,19918069,26186099,26186099,148817000,160138317
OP Domain Comilla,Comilla Zone,Bagmara Region,Barura-1,314,66,74,110,108,11711611,11131184,57399,580427,8730025,400,2949170,11140620,11140620,332368000,312143594
OP Domain Comilla,Comilla Zone,Choddogram Region,MIA BAZAR,315,50,44,109,99,12099538,11770349,59009,329189,11111736,722,6553677,12803072,12803072,332968000,313788586
OP Domain Chittagaon,Feni Zone,Gunoboti Region,Gunabati,316,48,53,107,101,12503244,12022954,41828,480290,6782284,458,1814645,9218480,9218480,340317000,316724712
OP Domain Comilla,Comilla Zone,Comilla Region,Burichang,317,50,41,88,76,10828926,10258776,101369,570150,11723516,714,5789849,13516371,13516371,293191000,264740559
OP Domain Chittagaon,Feni Zone,Feni Region,Fulgazi,318,38,27,59,52,6341341,6138755,123685,202587,4065651,478,1787829,6613486,6613486,179273000,168711901
OP Domain Bogra,Sirajganj Zone,Ullapara Region,Talgachhi,319,48,45,101,96,4565441,4257116,82934,308326,6004858,690,3915536,7240373,7240373,119286000,110685576
OP Domain Chittagaon,Feni Zone,Feni Region,Parsuram,320,34,30,61,57,6427069,5869204,126686,557865,5144860,627,1533718,9256734,9256734,179733000,168296975
OP Domain Natore,Chatmohor Zone,Bhangura Region,Faridpur-1,321,86,79,156,154,8252638,8051486,67003,201152,4350483,507,2708917,5056504,5056504,229325000,213902432
OP Domain Natore,Puthia Zone,Puthia Region,Mollapara,322,72,74,124,131,6940847,6621459,103964,319388,4163152,422,1992195,5886108,5886108,206674000,193668295
OP Domain Natore,Natore Zone,Natore Region,Natore-2,323,85,82,143,139,9022373,8687970,84964,334403,12945183,1101,9443951,14504125,14504125,257648000,244736683
OP Domain Khulna,Khulna Zone,Khulna Region,Sonadanga,324,90,92,106,114,7689019,7318902,80450,370117,13774959,1174,9034330,14714804,14714804,204495000,203168260
OP Domain Khulna,Khulna Zone,Khulna Region,Boyra,325,77,76,123,120,8183008,7703785,22926,479223,12501604,1134,7614483,13990514,13990514,212766000,210495186
OP Domain Khulna,Khulna Zone,Bagerhat Region,Rupsa,326,66,57,94,81,6699923,6041307,86640,658615,22848068,1627,16216552,25292465,25292465,188270000,184158897
OP Domain Khulna,Khulna Zone,Bagerhat Region,Bagerhat,327,104,102,130,122,7872358,7109293,145915,763064,21881227,1443,14885830,25046532,25046532,214931000,219773228
OP Domain Khulna,Khulna Zone,Doulatpur Region,Daulatpur-2,328,90,77,161,141,6994486,6788694,206053,205792,9741412,840,7570365,10570812,10570812,176835000,172048222
OP Domain Khulna,Jessore Zone,Nowapara Region,Fultala,329,61,55,82,79,3917808,3526387,68729,391421,12490809,1376,8151104,14199417,14199417,104383000,109190875
OP Domain Khulna,Khulna Zone,Doulatpur Region,Fulbarigate,330,118,83,127,97,6263009,5873367,120279,389643,19052039,1157,14489695,20356865,20356865,158720000,161018921
OP Domain Khulna,Satkhira Zone,Kaliganj Region,Shatkhira,331,104,72,129,104,7706960,7214841,176992,492119,14568225,1114,9899846,16860374,16860374,200992000,193549858
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,Dagonbhuya,332,47,35,52,46,7393730,7069758,122255,323973,7144975,482,3443938,9001391,9001391,207616000,203801793
OP Domain Rangpur,Rangpur Zone,Modern Region,Nataram,333,116,83,228,208,11497824,11184770,63439,313054,8413825,1004,6188919,10142978,10142978,304294000,279917867
OP Domain Natore,Puthia Zone,Puthia Region,Durgapur-4,334,63,55,105,97,6996986,6710660,85104,286326,7449624,640,5436801,9227764,9227764,189095000,173340342
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Damurchakla,335,79,59,149,113,7997296,7686070,48834,311226,9094440,935,6626421,10391515,10391515,208268000,196413869
OP Domain Khulna,Kushtia Zone,CHUADANGA REGION,Chuadanga,336,97,85,145,133,7447713,6884073,97626,563640,13445779,1266,8672343,15252082,15252082,216102000,218432888
OP Domain Khulna,Jessore Zone,Jhenidaha Region,Jhenaidah,337,77,58,110,80,5541486,5131789,46657,409697,16874906,1576,12458007,18026979,18026979,151827000,157830088
OP Domain Khulna,Jessore Zone,Jhenidaha Region,Magura,338,95,70,122,102,6555734,6175754,127666,379979,18442857,1584,13702337,19815773,19815773,180052000,174413255
OP Domain Khulna,Jessore Zone,Nowapara Region,Narail,339,85,66,118,98,7118428,6682522,45157,435905,12307333,897,7389860,13772538,13772538,189690000,184252381
OP Domain Barisal,Faridpur Zone,Faridpur Region,Faridpur-2,340,62,61,105,108,6724025,6334074,136713,389950,10688867,960,7331434,12159553,12159553,185491000,175164352
OP Domain Khulna,Kushtia Zone,RAJBARI REGION,Razbari,341,115,101,128,127,8192988,7816039,48431,376949,13504190,953,9943101,15339654,15339654,225482000,230134498
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Borobari,342,87,81,152,147,8101604,7752268,86689,349336,9781266,1128,6381070,10889317,10889317,224126000,207609586
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,Rajshahi-2,343,59,46,71,53,6578133,6424315,54958,153818,7491755,300,5783907,8152684,8152684,170484000,156198874
OP Domain Khulna,Khulna Zone,Khulna Region,Gollamari,344,78,60,123,116,8323475,8045265,54131,278210,12515624,1095,8554315,13485811,13485811,213214000,210257527
OP Domain Natore,Pabna Zone,Iswardi Region,Iswardi-2,345,52,42,102,94,7242357,6959987,89451,282370,9753838,800,7151005,11318142,11318142,200377000,185706097
OP Domain Rangpur,Rangpur Zone,Rangpur Region,Rangpur Sadar,346,51,40,103,94,7299065,6790888,27952,508177,10009516,726,6429588,12188298,12188298,202920000,194237357
OP Domain Rajshahi,Najipur Zone,Badalgachi Region,Goborchapa,347,87,80,173,171,7161547,6997523,76661,164024,6738827,553,5129023,7403794,7403794,229821000,221347365
OP Domain Dhaka,Narsingdi Zone,Madhobdi Region,RUPGANJ,348,102,95,201,183,15093905,14659174,38435,434730,7757819,721,4765077,9384523,9384523,388588000,346052193
OP Domain Comilla,Comilla Zone,Bagmara Region,Bagmara,349,60,47,101,81,11557489,11143599,89639,413889,12139161,534,7210200,13563426,13563426,325695000,310476114
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Ullahvaratkhali,350,75,58,140,115,8298810,7965574,34271,333236,7930155,809,5469291,8722109,8722109,231737000,221815385
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Annadanagar,351,60,40,118,105,7013045,6764741,53233,248304,7210259,604,5226118,8239378,8239378,182205000,168106605
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Pirganj-1,352,74,47,139,116,6782163,6282147,63458,500016,11297330,1271,7483342,13561333,13561333,180700000,170098549
OP Domain Rangpur,Gaibandha Zone,Saghata Region,Nakaihat,353,58,57,148,128,7976788,7685619,29433,291168,8191508,848,5920134,9708662,9708662,229699000,218198147
OP Domain Bogra,Sirajganj Zone,Nimgachhi Region,Tarash,354,56,53,120,116,8612461,7968515,214464,643946,13653415,1244,9043305,16365461,16365461,249989000,234172502
OP Domain Khulna,Kushtia Zone,Alamdanga Region,Meherpur,355,92,71,115,96,7853183,7582158,112711,271025,14888559,1154,11648365,15651453,15651453,232350000,234408927
OP Domain Khulna,Satkhira Zone,Navaran Region,Benapol,356,123,110,167,146,8573890,8290649,36561,283240,7135104,706,4893476,8124784,8124784,249190000,244550756
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Nowapara-2,357,60,54,107,86,10123901,9666725,58545,457177,6955802,464,2977960,8512791,8512791,258771000,230256339
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Kustia-1,358,103,93,144,133,7252169,7012892,89878,239277,12187819,1210,9433618,13010102,13010102,200270000,192625776
OP Domain Bogra,Bogra South Zone,Gohail Region,Vatra,359,50,60,103,113,6490264,5846479,38077,643786,7767754,1020,4153400,10759970,10759970,215401000,215455587
OP Domain Natore,Chatmohor Zone,Bhangura Region,Demra-2,360,87,86,166,160,8506879,8248107,93845,258772,6661493,732,4647609,7735325,7735325,239056000,227281446
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Shatibari,361,81,55,155,134,7921679,7638151,94883,283527,10503200,1021,7606803,11608833,11608833,219505000,213723882
OP Domain Rangpur,Polashbari Zone,Polashbari Region,Dhaperhat,362,113,63,173,134,9071547,8667921,40904,403626,9469013,935,6942818,11169758,11169758,232250000,220744948
OP Domain Rangpur,Rangpur Zone,Damurchakla Region,Kaunia,363,62,42,118,105,7621849,7040757,71704,581092,12265702,950,8389754,14981611,14981611,214729000,206558928
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Gomostapur,364,104,80,188,170,8883621,8742858,90539,140763,2948240,300,2023540,3683884,3683884,309087000,325399118
OP Domain Rajshahi,Chapainobabgonj Zone,Gomastapur Region,Nachol,365,101,85,207,179,8797719,8648678,48683,149041,4603494,588,3025064,5147871,5147871,253047000,234796993
OP Domain Rangpur,Lalmonirhat Zone,Lalmonirhat Region,Valabari,366,74,64,211,203,9707483,9372298,66014,335186,7381525,773,3977803,8607485,8607485,276403000,256645442
OP Domain Natore,Natore Zone,Walia Region,Walia,367,81,69,114,108,6058719,5819102,112623,239616,10419973,690,7617948,11613685,11613685,189946000,184230444
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Setabganj,368,100,63,192,155,8505776,8093373,105136,412403,9254912,924,5728592,11337328,11337328,245681000,225900792
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,Saidpur-3,369,96,58,122,84,6967648,6724013,82501,243635,9829209,490,8358666,10610305,10610305,174066000,165320242
OP Domain Rajshahi,Naogaon Zone,Naogaon Region,Naogaon-2,370,67,53,82,66,5227401,4731248,101972,496153,14264941,909,8094738,16127726,16127726,163047000,155808129
OP Domain Natore,Natore Zone,Walia Region,Abdulpur,371,90,81,156,150,9146434,8752752,64848,393682,9624999,698,6266846,11283389,11283389,266277000,258946929
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,Zagdal,372,74,67,134,127,7633255,7266162,90067,367092,11543070,1136,8014635,12875526,12875526,245754000,283740553
OP Domain Dinajpur,Panchogor Zone,Boda Region,Vulli,373,112,79,218,209,9712071,9435465,77831,276606,10705579,1318,8669186,12096913,12096913,260704000,238916318
OP Domain Khulna,Jessore Zone,Jhenidaha Region,Kaliganj-3,374,68,54,96,87,4595029,4338659,43926,256370,13683583,1434,11001477,15018175,15018175,127660000,128275415
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,Dinajpur-2,375,38,33,82,76,11205505,10773421,52790,432084,11654652,498,8723521,12986798,12986798,288799000,264989264
OP Domain Dhaka,Dhaka North Zone,Kalshi Region,Rupnagor,376,65,43,88,72,6165990,5807521,73659,358469,9597764,691,6391692,10845392,10845392,233323000,254923633
OP Domain Dhaka,Dhaka North Zone,Kalyanpur Region,Mohammadpur,377,173,144,198,171,13769608,12978734,50541,790874,8683884,918,3708287,11917636,11917636,350496000,308280687
OP Domain Mymensingh,Gazipur Zone,Kapasia Region,Kapasia,378,48,37,77,60,6192242,5870346,45700,321896,10151193,664,7717068,11790421,11790421,168200000,162609703
OP Domain Dhaka,Narsingdi Zone,Belabo Region,BELABO,379,88,64,142,122,10536672,10069239,124452,467433,11758243,1098,7644111,13913900,13913900,278509000,257462645
OP Domain Dhaka,Narsingdi Zone,Belabo Region,NARAYANPUR,380,110,90,117,112,9651798,9389283,57809,262515,7697417,500,4993385,8573927,8573927,254065000,244211601
OP Domain Sylhet,Moulvibazar Zone,Moulvibazar Region,Moulvibazar Sadar,381,71,50,136,116,11767092,11258209,94349,508883,7601094,746,3090875,10282583,10282583,317735000,298443811
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,Nawabganj,382,29,26,55,56,6562493,5838036,90259,724457,16898581,1174,12075495,20325298,20325298,176437000,169034829
OP Domain Bogra,Joypurhat Zone,Joypurhat Region,Joypurhat-2,383,54,34,96,80,7127246,6457964,81227,669282,10582919,921,6625646,15463061,15463061,195637000,186559195
OP Domain Khulna,Kushtia Zone,KUSHTIA REGION,Kustia-2,384,71,67,116,106,6456643,6276086,96068,180557,11039598,1006,8851965,11729904,11729904,175099000,173837762
OP Domain Natore,Pabna Zone,Pabna Region,Pabna-2,385,70,66,100,98,6637823,6248354,140230,389469,13240473,978,10110458,15182947,15182947,195154000,185939570
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Thakurgaon-2,386,47,40,63,50,8492287,7982999,55235,509289,10898112,545,6435101,13296026,13296026,250156000,248521291
OP Domain Rajshahi,Rajshahi Zone,Coart Region,Razabari,387,101,90,171,156,6510601,6373653,56342,136948,3982225,388,2693321,4580151,4580151,202502000,188940307
OP Domain Bogra,Sirajganj Zone,Sirajgonj Region,Sirajganj-2,388,61,57,101,92,6486433,6113430,73698,373003,8180654,722,5025365,10024147,10024147,179141000,170674496
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,Panchagarh-2,389,39,35,81,80,7864224,7481684,96555,382540,9065541,510,6763120,10580847,10580847,209244000,195742658
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Gaibandha-2,390,68,48,120,100,11166649,10659961,33367,506688,13641424,882,9627315,15785184,15785184,302834000,290335588
OP Domain Dhaka,Dhaka South Zone,Ruhitpur Region,Joypara,391,65,58,101,98,9018016,7943516,172951,1074500,14562806,922,8276377,19568446,19568446,247462000,223345324
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Vendabari,392,59,51,122,108,7014372,6689620,98336,324752,7230226,1061,4780376,9079459,9079459,197142000,186990085
OP Domain Rangpur,Kurigram Zone,Kurigram Region,Kurigram-2,393,77,59,206,171,10395988,9848625,94963,547363,15752472,1670,11681837,18002136,18002136,286537000,274207840
OP Domain Rajshahi,Rajshahi Zone,Mohonpur Region,Mougachhi,394,144,109,219,187,9455986,8771429,157272,684557,8933035,782,4972796,12014705,12014705,253926000,234728236
OP Domain Rajshahi,Najipur Zone,Najipur Region,Rangamati,395,64,63,233,231,8653840,8610341,1473,43499,702056,42,277662,871462,871462,389173000,380512706
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Baluchara,396,91,74,165,155,11429484,10993135,65459,436349,8735494,796,5287400,10433457,10433457,298763000,273231109
OP Domain Chittagaon,Chittagong North Zone,Mirasorai Region,Baryearhat,397,63,40,145,114,10553655,9978156,45808,575500,8040157,644,3241604,10923896,10923896,267703000,241525860
OP Domain Chittagaon,Chittagong North Zone,Kumira Region,Sitakunda,398,63,44,114,97,5913803,5719707,97754,194097,7526202,753,4862856,8689491,8689491,161692000,154176199
OP Domain Chittagaon,Chittagong North Zone,Kumira Region,Kumira,399,75,46,134,98,6662860,6392313,25245,270547,8960064,627,6890595,10280908,10280908,183394000,177054845
OP Domain Chittagaon,Chittagong South Zone,Chandgaon Region,Bakalia,400,79,76,133,124,10131603,9718118,31325,413486,9450139,820,5920107,10994602,10994602,262899000,244423812
OP Domain Chittagaon,Satkania Zone,Anowara Region,Anowara,401,52,40,117,99,8231187,8103407,9654,127780,2657088,221,1595798,3126293,3126293,227006000,219093196
OP Domain Chittagaon,Satkania Zone,Anowara Region,Shantirhat,402,67,49,109,97,7155041,7005413,28629,149628,6724554,562,4551492,7540753,7540753,191444000,183700804
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Kotwali,403,84,81,149,131,11198176,10853227,48348,344949,8612399,808,5230677,10281035,10281035,302041000,282620437
OP Domain Chittagaon,Chittagong North Zone,Pahartali Region,Halishahar,404,66,41,117,93,9246386,8953152,77471,293234,6375858,506,3684257,8121043,8121043,280433000,292570091
OP Domain Chittagaon,Satkania Zone,Satkania Region,Satkania-1,405,61,59,102,119,9104355,8778034,49866,326321,5840708,645,3910065,7484093,7484093,232949000,218512363
OP Domain Chittagaon,Satkania Zone,Satkania Region,Lohagara,406,77,72,91,103,8969224,8448825,43006,520399,15769782,1168,9525771,18190695,18190695,267546000,254109373
OP Domain Chittagaon,Noakhali Zone,Sonaimuri Region,Sonaimori,407,53,51,98,89,10410073,10052518,73877,357555,3770872,245,1485852,5330118,5330118,288833000,271400052
OP Domain Chittagaon,Feni Zone,Dagonbuyan Region,Selonia,408,58,47,75,70,9793290,9502194,107447,291095,8648686,662,3945885,9734472,9734472,270888000,264183054
OP Domain Natore,Pabna Zone,Bongram Region,Ataikula,409,78,56,121,110,6900959,6674730,82529,226229,6661488,594,4704513,7731816,7731816,202569000,196590016
OP Domain Natore,Pabna Zone,Iswardi Region,Dapunia,410,66,72,138,134,7739544,7446099,124368,293445,6826650,663,4632285,8475629,8475629,220215000,207619897
OP Domain Natore,Pabna Zone,Iswardi Region,Aoutapara,411,74,53,109,103,5860711,5461421,84664,399291,11098987,1005,7635964,13062867,13062867,166565000,158067261
OP Domain Comilla,Chandpur Zone,Chandpur Region,Haziganj-2,412,56,68,93,114,7195652,6960506,156319,235145,9397741,890,5844749,10762452,10762452,210273000,206599963
OP Domain Comilla,Chandpur Zone,Chandpur Region,Chandpur-1,413,44,50,99,110,7658666,7314541,71313,344125,9311548,760,5280342,11402751,11402751,216992000,202666593
OP Domain Comilla,Chandpur Zone,kochua Region,Shahrasti,414,50,47,92,89,9914401,9673707,43159,240694,5411495,320,2223232,6499211,6499211,281881000,259631914
OP Domain Comilla,Chandpur Zone,kochua Region,Kochua-1,415,95,77,155,142,14879674,14618090,272270,261584,9259679,635,3846302,11064597,11064597,444125000,429908853
OP Domain Comilla,Chandpur Zone,Motlob Region,MOTLOB,416,46,40,79,71,6611676,6381012,92592,230664,7108008,546,4489416,8443245,8443245,185386000,177274674
OP Domain Rajshahi,Chapainobabgonj Zone,Niyamatpur Region,Jinarpur,417,134,118,255,249,8955096,8883942,23205,71154,2106549,254,1568725,2464498,2464498,263053000,249775483
OP Domain Rangpur,Lalmonirhat Zone,Kaliganj Region 2,Kakina,418,100,90,196,188,9666179,9301588,55570,364591,8187767,873,5271476,9607109,9607109,260210000,248741674
OP Domain Rajshahi,Rajshahi Zone,Rajshahi Region,Salbagan,419,90,86,162,160,8548327,8163306,64982,385021,9361193,989,6168177,11065507,11065507,247368000,235681937
OP Domain Rangpur,Gaibandha Zone,Gaibandha Region,Matherganj,420,63,50,140,121,7834440,7544671,43294,289769,8209178,987,6264186,9396838,9396838,204676000,188498094
OP Domain Bogra,Bogra North Zone,Baluahat Region,Velurpara,421,86,81,143,137,7576133,6732054,73837,844079,16801523,1361,6520371,19036744,19036744,262269000,257092891
OP Domain Dinajpur,Thakurgaon Zone,Ranisangkail Region,Nekmorod,422,77,68,163,162,8256134,7612231,94058,643903,16506368,1670,10409850,18859334,18859334,251418000,244742789
OP Domain Rajshahi,Naogaon Zone,Hapania Region,Dubolhati,423,64,47,147,139,6861415,6495225,51884,366190,10266055,756,7002115,11928447,11928447,199361000,191416904
OP Domain Khulna,Jessore Zone,Lohagara Region,Lahagara-2,424,80,77,118,109,7300368,6960285,33962,340082,12754574,958,8498955,13803595,13803595,198446000,195895726
OP Domain Barisal,Faridpur Zone,Boalmari Region,Alphadanga,425,63,59,84,85,5938191,5608179,63353,330012,6908325,632,4320147,8438449,8438449,166474000,154871359
OP Domain Khulna,Satkhira Zone,Paikgasa Region,Chuknagar,426,80,50,88,66,5933446,5682153,60341,251294,12286146,879,8518080,13527933,13527933,172378000,170220002
OP Domain Khulna,Khulna Zone,Doulatpur Region,Dumuria,427,72,56,94,84,5303725,5160656,150978,143068,18072037,1246,13402365,18486800,18486800,158933000,165965516
OP Domain Khulna,Satkhira Zone,Paikgasa Region,Paikgacha,428,59,28,81,58,6717371,6280432,55301,436939,8774747,896,4833212,10583818,10583818,159119000,140928270
OP Domain Rajshahi,Najipur Zone,Sapahar Region,Mohisbathan,429,88,69,196,187,7259757,7137865,81730,121893,3455473,306,1996943,3838759,3838759,245844000,241577768
OP Domain Dinajpur,Panchogor Zone,Boda Region,Mirzapur-2,430,98,75,194,184,8233575,7995695,22101,237880,2676324,333,1311152,3586721,3586721,231348000,220249889
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,Salbahan,431,99,84,185,168,9335418,8943436,125015,391982,9357887,980,6380127,10865222,10865222,256553000,243787032
OP Domain Dinajpur,Panchogor Zone,Panchogor Region,Tunirhat,432,106,92,195,193,9351266,8956806,71659,394460,8763856,1100,4190006,10050199,10050199,253426000,238201214
OP Domain Dinajpur,Thakurgaon Zone,Ranisangkail Region,Baliadangi,433,67,61,162,157,8769520,8398973,76144,370547,11917944,1268,8398020,13358815,13358815,247466000,235347878
OP Domain Dinajpur,Panchogor Zone,Boda Region,Atwari,434,69,53,160,172,7601091,7326512,45962,274578,5508010,621,3873207,6676414,6676414,219183000,210474980
OP Domain Bogra,Bogra Central Zone,Banani Region,Bogura Sadar,435,89,84,161,158,13181947,12821597,56864,360350,10088326,630,7074169,11867918,11867918,404126000,394716231
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,Mongolpur,436,66,78,171,177,8050306,7726696,59592,323610,8894385,966,6754736,10120974,10120974,238446000,228489348
OP Domain Rangpur,Polashbari Zone,Mithapukur Region,Khalashpir,437,69,45,116,95,6377944,6076523,40918,301421,6114441,730,4015160,7456706,7456706,166347000,151382682
OP Domain Rajshahi,Naogaon Zone,Raninagor Region,Kaliganj-4,438,63,42,120,109,7494983,7340254,53609,154729,5200093,476,3752001,6128655,6128655,200643000,183049402
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,Birol,439,75,55,154,132,6694788,6523425,32599,171363,2668348,290,1533709,3219233,3219233,241551000,261876800
OP Domain Dinajpur,Dinajpur Zone,Dinajpur Region,Ranigonj-2,440,69,65,196,184,9130087,8911227,68301,218860,4741126,397,2547288,5656773,5656773,293708000,280765053
OP Domain Dinajpur,Syedpur Zone,Bodorgonj Region,Bhabanipur,441,112,64,152,103,7589379,7090173,136538,499206,12787986,1123,8111165,14611402,14611402,209117000,200334456
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,Kaugaon,442,63,58,249,236,8669645,8586049,28544,83595,2694442,265,1620011,3066678,3066678,284604000,265906799
OP Domain Dinajpur,Syedpur Zone,Syedpur Region,Kazirhat-1,443,84,64,187,141,9821922,9307177,77219,514746,13991609,1529,9766412,15907904,15907904,260857000,247725730
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,Debiganj,444,84,76,163,155,8188427,7945074,45281,243352,16974210,1330,14323020,17594025,17594025,240521000,228530204
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,Sonahar,445,66,70,164,177,10146119,9784255,57294,361864,11270502,1024,9040470,12978044,12978044,277668000,258921234
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,Kaliganj-5,446,76,75,159,155,7469410,7341387,58096,128023,7369269,938,6501992,7869144,7869144,199272000,187962065
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Begunbari,447,97,92,178,175,8527243,8095953,92682,431289,9910214,948,6565486,11525667,11525667,246878000,232523606
OP Domain Dinajpur,Thakurgaon Zone,Thakurgaon Region,Shibgonj-3,448,97,91,175,174,7531579,7298945,49805,232634,4241063,504,2716547,5159660,5159660,202353000,186220365
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Kaharul,449,91,83,170,169,9108626,8785528,55979,323098,5688349,606,3557444,6960745,6960745,295477000,315106668
OP Domain Dinajpur,Thakurgaon Zone,Ranisangkail Region,Rani Sankoil,450,70,66,171,161,9192592,8936938,64242,255654,6773125,783,4594170,7519938,7519938,264516000,252996277
OP Domain Dinajpur,Thakurgaon Zone,Ranisangkail Region,Debdanga,451,97,88,184,178,9206817,8795686,81923,411130,7403792,837,4334987,9105509,9105509,264895000,260209913
OP Domain Dinajpur,Thakurgaon Zone,Ranisangkail Region,Pirganj-2,452,121,107,234,231,10309570,9721095,75142,588474,12835214,1138,6428170,14769547,14769547,300298000,284146364
OP Domain Dinajpur,Thakurgaon Zone,Ranisangkail Region,Zaborhat,453,122,98,187,173,8711799,8104884,63735,606915,9245362,934,3756404,11451874,11451874,267071000,254679957
OP Domain Bogra,Bogra Central Zone,Banani Region,Banani,454,51,46,84,78,6840948,6457090,43556,383858,3452312,218,1421720,6766471,6766471,249821000,299301492
OP Domain Dinajpur,Dinajpur Zone,Shikdarhat Region,Kamolpur,455,91,69,257,223,9323098,9226535,33604,96563,2270066,252,1306523,2607134,2607134,367683000,346639333
OP Domain Dinajpur,Dinajpur Zone,Ambari Region,Panchbari,456,67,72,139,136,6277457,6090928,62063,186529,7360789,562,3941496,8259619,8259619,232032000,227833577
OP Domain Dinajpur,Panchogor Zone,Debigonj Region,Panchpir-2,457,88,90,162,171,8622248,8439126,75250,183121,7718419,708,6129315,8345414,8345414,235739000,227028446
OP Domain Dinajpur,Thakurgaon Zone,Birgonj Region,Joyanandahat,458,66,62,140,135,7080485,6774985,20513,305500,7781304,788,4949841,8718309,8718309,198351000,191152780
OP Domain Khulna,Khulna Zone,Doulatpur Region,Shekpura,459,77,66,94,83,4989995,4693085,59112,296910,14875736,1046,11271563,15816859,15816859,133861000,142699600
OP Domain Khulna,Khulna Zone,Doulatpur Region,Terokhada,460,67,64,82,75,5211094,4885369,95145,325724,15565425,1070,11804853,16973044,16973044,150928000,157912676
OP Domain Rangpur,Gaibandha Zone,Sundarganj Region,Sundarganj,461,61,56,202,184,13384810,13052071,73772,332739,9269335,702,6464915,10407614,10407614,377485000,361265164
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Dhaldanga,462,76,79,169,164,8266557,8083345,31135,183212,3843102,512,2316442,4500970,4500970,223753000,214307468
OP Domain Rangpur,Kurigram Zone,Bhurungamari Region,Kochakata,463,92,84,202,201,10044424,9831081,39447,213343,3136651,397,1544378,4055681,4055681,276722000,261245090
OP Domain Rangpur,Kurigram Zone,Nageshori Region,Nayashi,464,57,50,162,151,11839919,11524583,73883,315336,6187024,569,3125847,7553870,7553870,322802000,298566651
OP Domain Dhaka,Dhamrai Zone,Dhamrai Region,Savar,465,115,75,135,104,10152765,9586855,95408,565910,10599909,625,5749009,12411757,12411757,261908000,223391056
OP Domain Khulna,Jessore Zone,Jessore Region,Jessore-2,466,69,54,76,73,4910920,4582413,49154,328506,16759311,1418,13116624,17995374,17995374,140603000,141366750
OP Domain Dhaka,Dhaka North Zone,Cheragali Region,Tongi,467,85,72,158,134,14056278,13257106,129500,799173,11740625,897,6533814,14908076,14908076,359579000,319244239
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Narayanganj-2,468,85,82,107,108,8542095,7912082,44638,630012,10738335,827,5508994,13073562,13073562,235720000,211801230
OP Domain Dhaka,Dhaka South Zone,Narayanganj Region,Munshiganj,469,39,51,67,79,6550523,6069617,41385,480905,10592216,811,7678755,12427681,12427681,180216000,163928570
OP Domain Sylhet,Hobigonj Zone,Ashugonj Region,VOIRAB,470,88,76,135,125,12606690,11978005,189057,628684,13605408,1145,8995801,16402945,16402945,349950000,321734949
